,avg_time_generation,avg_time_on_site,avg_time_on_site_returning,bounce_count,bounce_rate,bounce_rate_returning,conversion_rate,conversion_rate_new_visit,conversion_rate_returning_visit,max_actions,max_actions_returning,nb_actions,nb_actions_per_visit,nb_actions_per_visit_returning,nb_actions_returning,nb_conversions,nb_conversions_new_visit,nb_conversions_returning_visit,nb_downloads,nb_hits_with_time_generation,nb_keywords,nb_outlinks,nb_pageviews,nb_searches,nb_uniq_downloads,nb_uniq_outlinks,nb_uniq_pageviews,nb_uniq_visitors,nb_uniq_visitors_returning,nb_users,nb_users_returning,nb_visits,nb_visits_converted,nb_visits_converted_new_visit,nb_visits_converted_returning_visit,nb_visits_returning,revenue,revenue_new_visit,revenue_returning_visit,sum_visit_length
2017-01-11,1.887,188,271,4210,47%,43%,12.99%,13.91%,10.14%,5216,656,87871,9.8,5.1,11280,2124,1697,427,2392,19595,500,2375,38848,44246,2153,2087,25245,8219,1793,76,31,8963,1164,941,223,2199,0,0,0,1687338
2017-01-12,0.611,183,261,4054,46%,44%,12.28%,13.18%,9.72%,4460,941,98353,11.1,5.4,12408,2131,1648,483,2534,19775,500,2625,40379,52815,2292,2296,27231,8113,1890,66,24,8890,1092,868,224,2304,0,0,0,1627423
2017-01-13,0.456,208,320,3402,44%,42%,12.7%,14.19%,8.6%,5358,765,95490,12.5,5.8,11794,1925,1605,320,2326,20753,500,2365,39582,51217,2092,2114,26551,6985,1662,69,28,7651,972,797,175,2034,0,0,0,1589726
2017-01-14,0.558,170,245,1726,48%,52%,17.54%,18.8%,12.27%,9373,469,41003,11.4,5.5,3843,1096,921,175,739,7656,500,1033,16074,23157,687,903,10748,3325,538,26,7,3587,629,544,85,693,0,0,0,608067
2017-01-15,0.557,143,174,1969,50%,53%,19.72%,20.93%,13.49%,10348,965,42144,10.6,5,3243,1384,1239,145,814,7748,500,1243,17745,22342,734,1087,12499,3723,524,20,3,3965,782,695,87,645,0,0,0,565193
2017-01-16,0.499,181,265,4083,45%,42%,12.82%,14.31%,8.28%,9040,205,99298,10.9,4.4,10003,2120,1798,322,2548,20254,500,2724,39852,54174,2291,2440,25970,8404,1879,66,21,9145,1172,984,188,2270,0,0,0,1657261
2017-01-17,0.503,181,265,4012,44%,40%,13.08%,14.1%,9.97%,4033,1456,101904,11.2,4.9,11057,2240,1855,385,2553,19921,500,2717,39497,57137,2327,2409,25587,8362,1861,61,21,9060,1185,961,224,2246,0,0,0,1643908
2017-01-18,0.496,182,254,3904,44%,42%,13.93%,15.18%,10.32%,14200,835,101842,11.5,5.1,11606,2353,1912,441,2329,19620,500,2696,42612,54203,2121,2350,28682,8160,1936,79,35,8820,1229,996,233,2257,0,0,0,1603930
2017-01-19,0.474,190,283,3971,45%,43%,12.75%,13.63%,10.14%,11631,1012,103996,11.8,5.8,12840,2150,1697,453,2686,21956,500,2729,42635,55946,2374,2406,27246,8134,1856,65,31,8822,1125,899,226,2228,0,0,0,1679050
2017-01-20,0.503,198,278,3283,44%,43%,13.01%,14.23%,9.51%,10357,831,91554,12.4,5.9,11243,1861,1531,330,2004,21222,500,2355,39210,47983,1820,2082,25665,6789,1598,53,31,7380,960,778,182,1913,0,0,0,1464041
2017-01-21,0.583,180,261,1668,49%,51%,18.36%,19.83%,11.52%,18395,1630,45298,13.3,7.1,4280,1124,999,125,697,7130,500,1049,20393,23159,646,933,11825,3184,499,19,3,3398,624,555,69,599,0,0,0,610971
2017-01-22,0.535,156,280,2238,51%,49%,20.69%,21.85%,14.75%,8151,292,43595,10,4.8,3444,1508,1342,166,825,8845,500,1303,19184,22283,756,1115,13512,4086,600,23,7,4350,900,795,105,712,0,0,0,680634
2017-01-23,0.477,181,291,4428,46%,42%,14.12%,15.13%,11.06%,11238,2152,110942,11.5,6.6,15637,2447,1945,502,2731,22476,500,2833,42675,62703,2452,2510,27297,8894,1959,74,35,9651,1363,1099,264,2386,0,0,0,1745636
2017-01-24,0.502,185,268,4301,45%,42%,13.49%,14.91%,9.02%,11293,1594,109913,11.5,5.8,13351,2328,1924,404,2592,22139,500,2856,44957,59508,2332,2521,28747,8808,1912,32,20,9543,1287,1079,208,2306,0,0,0,1769090
2017-01-25,0.558,180,272,3981,44%,42%,13.5%,14.8%,9.42%,9993,2423,106594,11.9,7,15101,2227,1857,370,2586,21191,500,2703,48264,53041,2323,2397,32454,8313,1797,70,41,8956,1209,1005,204,2165,0,0,0,1615100
2017-01-26,0.572,181,299,4210,46%,42%,13.66%,14.82%,10%,7709,1660,107080,11.6,7.2,16133,2407,1930,477,2509,21999,500,2835,46927,54809,2241,2472,30079,8559,1875,83,43,9234,1261,1038,223,2231,0,0,0,1672572
2017-01-27,0.535,176,281,3721,46%,44%,13.91%,14.92%,10.99%,7155,691,95721,11.8,5.9,12253,2163,1763,400,2023,20877,500,2302,40089,51307,1833,2051,26794,7427,1714,69,32,8081,1124,896,228,2075,0,0,0,1422428
2017-01-28,0.626,166,235,1880,51%,52%,19.11%,20.33%,13.9%,9625,436,40571,10.9,4.8,3357,1301,1094,207,614,7577,500,1109,16736,22112,558,951,11422,3446,560,22,8,3715,710,612,98,705,0,0,0,617293
2017-01-29,0.641,156,210,2003,51%,55%,19.76%,20.9%,14.53%,7487,884,42857,10.8,4.7,3323,1436,1249,187,761,8013,500,1210,16656,24230,700,1039,10990,3714,584,15,3,3962,783,680,103,709,0,0,0,616785
2017-01-30,0.57,178,251,4216,45%,42%,12.99%,14.47%,8.5%,8065,720,104576,11.2,5,11645,2183,1811,372,2481,21360,500,2801,42263,57031,2262,2449,27124,8589,1918,73,27,9358,1216,1019,197,2317,0,0,0,1662994
2017-01-31,0.61,177,290,4466,46%,43%,13.21%,14.27%,9.84%,12786,2156,103710,10.6,6.1,14121,2358,1942,416,2726,22255,500,2832,42482,55670,2454,2524,26412,9031,1949,54,18,9740,1287,1058,229,2328,0,0,0,1725320
2017-02-01,0.719,187,275,4010,45%,43%,13.34%,14.66%,9.66%,12223,966,111420,12.5,5.1,11973,2201,1776,425,2540,20427,500,2628,44000,62252,2273,2289,28793,8117,1871,72,29,8943,1193,965,228,2360,0,0,0,1667894
2017-02-02,0.659,189,281,3947,45%,43%,13.28%,14.04%,11.22%,5947,1114,102144,11.7,5.8,13595,2087,1637,450,2469,20948,500,2661,41861,55153,2208,2300,26875,8046,1957,72,35,8748,1162,898,264,2353,0,0,0,1656885
2017-02-03,0.647,184,249,3471,45%,43%,12.85%,14.42%,8.58%,9878,3025,91892,12,6.9,14196,1927,1562,365,1927,20097,500,2264,39060,48641,1717,2020,25560,7029,1677,56,30,7657,984,807,177,2062,0,0,0,1405810
2017-02-04,0.729,159,264,1929,50%,51%,19.71%,20.79%,14.87%,4568,1024,40171,10.3,5.7,4063,1390,1145,245,816,8096,500,1072,17381,20902,745,945,12101,3615,585,31,8,3887,766,660,106,713,0,0,0,619750
2017-02-05,0.707,153,241,2298,51%,52%,18.07%,19.54%,11.82%,4657,1942,51764,11.4,7.1,6095,1517,1276,241,1044,9457,500,1206,20080,29434,956,1051,13854,4246,717,31,11,4548,822,720,102,863,0,0,0,697794
2017-02-06,0.651,176,263,4113,45%,43%,12.71%,13.47%,10.41%,7612,2155,97793,10.8,5.6,12807,2238,1754,484,2390,19256,500,2729,36987,55687,2153,2435,23914,8348,1870,69,30,9081,1154,918,236,2268,0,0,0,1595897
2017-02-07,0.642,185,268,4186,45%,41%,13%,14.08%,10.22%,5472,1444,109180,11.7,5.2,13643,2451,1941,510,2428,20423,500,2710,42138,61904,2202,2376,28110,8511,2149,77,29,9351,1216,950,266,2602,0,0,0,1729015
2017-02-08,0.998,190,273,3937,44%,40%,12.73%,14.06%,9.11%,26691,1516,123351,13.8,5.1,12206,2064,1712,352,2666,19946,500,2532,59836,58317,2416,2256,43391,8181,1996,71,35,8930,1137,919,218,2392,0,0,0,1695338
2017-02-09,0.662,203,300,3964,44%,42%,15.89%,17.66%,10.57%,10052,1058,112974,12.5,6.5,14710,2630,2209,421,2789,21078,500,2795,40821,66569,2532,2486,26518,8381,1924,73,26,9052,1438,1199,239,2261,0,0,0,1836141
2017-02-10,0.651,181,267,3676,46%,43%,15.87%,17.97%,9.98%,7370,630,92327,11.6,5.2,10905,2449,2054,395,2112,20025,500,2326,38075,49814,1915,2003,26585,7342,1757,58,24,7988,1268,1059,209,2094,0,0,0,1443714
2017-02-11,0.733,166,247,1907,52%,50%,18.27%,19.38%,13.26%,5609,551,38165,10.4,5.1,3397,1096,940,156,724,7347,500,1007,14656,21778,662,900,10061,3450,573,21,5,3684,673,584,89,671,0,0,0,613131
2017-02-12,0.765,154,240,1811,48%,48%,17.13%,18.7%,10.59%,8270,2160,41107,11,7,5122,1125,986,139,802,7502,500,1040,15810,23455,743,919,10690,3487,587,15,4,3748,642,565,77,727,0,0,0,575321
2017-02-13,0.648,177,263,3675,44%,42%,13.73%,14.98%,10.13%,5913,1207,93666,11.2,5.9,12680,2140,1693,447,2210,19171,500,2473,36751,52232,1981,2195,23515,7740,1814,60,27,8351,1147,930,217,2142,0,0,0,1477468
2017-02-14,0.659,193,288,3714,44%,42%,13.43%,14.84%,9.64%,19487,1229,98972,11.8,6.1,13808,2130,1709,421,2304,19817,500,2494,37680,56494,2048,2236,23589,7727,1909,46,23,8415,1130,910,220,2281,0,0,0,1622416
2017-02-15,0.659,177,259,3775,46%,43%,12.76%,14.2%,8.65%,7902,948,89904,10.9,5,10782,1866,1545,321,2135,18465,500,2424,35816,49529,1929,2167,22746,7613,1794,50,19,8277,1056,870,186,2150,0,0,0,1467080
2017-02-16,0.688,214,300,3263,46%,44%,38.74%,37.26%,42.33%,12823,1303,109748,15.4,6.7,13852,4667,3484,1183,1951,18286,500,2108,49137,56552,1728,1860,32542,6462,1682,70,35,7133,2763,1885,878,2074,0,0,0,1528789
2017-02-17,0.635,199,261,2623,45%,44%,38.35%,37.63%,40.11%,9029,1528,88079,15.3,5.8,9621,3693,2873,820,1529,15032,500,1581,40446,44523,1366,1413,27147,5252,1374,53,24,5773,2214,1543,671,1673,0,0,0,1147557
2017-02-18,1.598,200,308,1281,49%,46%,36%,36.05%,35.82%,9583,393,37564,14.4,5.4,2879,1568,1300,268,658,5090,500,735,17210,18961,583,647,12614,2436,442,18,10,2608,939,747,192,536,0,0,0,522430
2017-02-19,0.739,197,312,1393,48%,51%,38.2%,38.12%,38.52%,17096,2873,50778,17.6,8.8,4980,1865,1555,310,636,5964,500,890,27351,21901,572,785,21245,2687,454,18,5,2890,1104,886,218,566,0,0,0,570714
2017-02-20,0.574,215,311,2879,44%,42%,41.2%,39.5%,45.78%,23015,3131,118419,18.1,7.4,13167,4564,3444,1120,2234,16399,500,2025,56749,57411,1836,1759,39897,5956,1455,63,24,6541,2695,1882,813,1776,0,0,0,1409153
2017-02-21,0.486,195,301,3461,44%,42%,40.38%,38.66%,45.14%,10753,1563,123302,15.8,6.6,13545,5454,4149,1305,2219,18870,500,2392,51445,67246,1959,2104,33069,7169,1715,59,25,7814,3155,2222,933,2067,0,0,0,1524458
2017-02-22,0.571,190,286,3520,44%,42%,41.11%,39.27%,46.39%,14312,1170,127725,16,5.8,12079,5386,4154,1232,2209,18522,500,2478,58572,64466,1958,2221,39150,7323,1721,57,25,7986,3283,2325,958,2065,0,0,0,1518196
2017-02-23,0.654,189,302,3580,45%,42%,40.56%,39.14%,44.81%,26484,3745,138767,17.5,7.8,15429,5519,4281,1238,2241,19058,500,2491,72888,61147,1977,2157,47027,7332,1658,55,17,7952,3225,2336,889,1984,0,0,0,1501856
2017-02-24,0.555,192,292,3135,44%,42%,40.14%,39.02%,43.17%,13872,3066,127925,18.1,6.8,12852,4908,3770,1138,2001,17992,500,2225,69085,54614,1756,1966,52019,6502,1577,61,26,7066,2836,2017,819,1897,0,0,0,1354194
2017-02-25,0.569,168,219,1623,50%,52%,37.28%,37.68%,35.65%,9556,930,54496,16.6,5.4,3471,2159,1848,311,713,6505,500,928,29834,23021,640,774,21734,3029,507,24,7,3278,1222,991,231,648,0,0,0,550493
2017-02-26,0.578,156,236,1889,49%,52%,38.46%,38.6%,37.83%,38278,2641,61228,15.9,7.5,5193,2575,2218,357,867,7483,500,1132,29013,30216,772,989,19530,3612,554,19,5,3848,1480,1219,261,690,0,0,0,599180
2017-02-27,0.59,181,265,3903,45%,43%,40.02%,39.14%,42.62%,9522,1257,143123,16.5,5.2,11441,5968,4814,1154,2305,20246,500,2602,63723,74493,2035,2283,43889,7983,1819,60,18,8690,3478,2537,941,2208,0,0,0,1571957
2017-02-28,0.697,192,273,3881,45%,43%,40.79%,39.15%,45.68%,12172,3634,135560,15.7,6.7,14575,5974,4711,1263,2620,20168,500,2799,63553,66588,2261,2463,42816,8009,1820,58,23,8658,3532,2537,995,2178,0,0,0,1664213
2017-03-01,0.589,184,266,3917,45%,43%,39.13%,37.79%,43.08%,11073,2425,144996,16.6,6.1,13540,6515,5347,1168,2547,20249,500,2594,69232,70623,2258,2262,50190,8017,1852,70,25,8711,3409,2457,952,2210,0,0,0,1600899
2017-03-02,0.486,182,263,3857,46%,44%,40.49%,39.47%,43.54%,9469,2800,134717,16.2,6.1,12779,5662,4528,1134,2358,18906,500,2538,62277,67544,2091,2236,43873,7680,1764,65,30,8305,3363,2453,910,2090,0,0,0,1510724
2017-03-03,0.477,185,287,3455,45%,43%,40.96%,39.91%,43.94%,7779,2341,118505,15.3,6.6,13354,5325,4142,1183,2223,20043,500,2279,55812,58191,2001,1987,37753,7112,1674,63,20,7722,3163,2279,884,2012,0,0,0,1429744
2017-03-04,0.569,153,237,1828,49%,51%,37.4%,38%,34.51%,20301,1034,55910,14.9,6.1,3952,2489,2203,286,863,7483,500,1055,28930,25062,778,943,20711,3543,549,22,8,3754,1404,1180,224,649,0,0,0,572835
2017-03-05,0.541,146,228,1985,50%,49%,36.23%,35.93%,37.7%,14840,963,66702,16.7,5.3,3628,2612,2223,389,814,7936,500,1186,34143,30559,724,1027,25564,3765,565,19,7,3983,1443,1187,256,679,0,0,0,581149
2017-03-06,0.617,202,303,4116,45%,43%,39.45%,38.5%,42.28%,9325,6251,152409,16.7,7.8,17845,5909,4705,1204,2676,21492,500,2764,68971,77998,2316,2390,47806,8392,1919,56,21,9103,3591,2625,966,2285,0,0,0,1839575
2017-03-07,0.506,205,312,4149,45%,41%,39.78%,38.25%,44.08%,18078,2954,151060,16.3,7.1,17212,6671,5194,1477,2645,23440,500,2844,68560,77011,2322,2481,45265,8506,1990,62,30,9251,3680,2612,1068,2423,0,0,0,1895577
2017-03-08,0.5,190,289,3983,45%,44%,39.66%,38.3%,43.44%,18400,2382,138863,15.8,6.6,15521,5924,4637,1287,2486,20563,500,2546,63042,70789,2212,2266,42259,8026,1885,65,31,8812,3495,2479,1016,2339,0,0,0,1673215
2017-03-09,0.544,191,256,3694,46%,44%,38.8%,37.68%,41.91%,12511,1176,147439,18.5,6.2,13103,5601,4528,1073,2080,19460,500,2281,65169,77909,1840,1978,44889,7352,1752,74,23,7990,3100,2212,888,2119,0,0,0,1528865
2017-03-10,0.563,187,255,2902,48%,46%,37.62%,37.34%,38.35%,9868,899,104211,17.1,5.6,9390,4100,3316,784,1674,14393,500,1468,48716,52353,1495,1304,32663,5607,1385,55,28,6098,2294,1654,640,1669,0,0,0,1140223
2017-03-11,0.556,166,226,1662,50%,55%,38.18%,38.5%,36.65%,8525,3623,45014,13.5,10,5719,2298,1956,342,739,6404,500,932,22133,21210,653,800,15459,3131,470,26,6,3329,1271,1061,210,573,0,0,0,553588
2017-03-12,0.532,169,263,1903,48%,52%,38.67%,38.72%,38.46%,13782,3793,58652,14.9,9.9,7100,2802,2353,449,827,8086,500,1218,27646,28961,729,1048,19436,3679,568,23,9,3933,1521,1246,275,715,0,0,0,663918
2017-03-13,0.495,183,254,4148,46%,42%,40.54%,38.95%,45.4%,10611,1286,135150,14.9,5.2,11620,6263,4965,1298,2305,21057,500,3090,61919,67836,2040,2684,40845,8379,1883,76,29,9055,3671,2655,1016,2238,0,0,0,1656544
2017-03-14,0.513,191,255,3730,45%,42%,39.39%,38.99%,40.49%,18863,1922,137382,16.8,5.5,12028,5559,4479,1080,2025,18889,500,2825,60607,71925,1769,2437,39676,7589,1828,52,16,8198,3229,2346,883,2181,0,0,0,1566421
2017-03-15,0.534,191,273,3669,45%,43%,39.91%,38.82%,42.88%,12268,1445,124913,15.5,5.8,12491,5431,4206,1225,1909,18334,500,2682,56798,63524,1714,2285,37328,7413,1790,61,27,8078,3224,2293,931,2171,0,0,0,1544376
2017-03-16,0.502,187,275,3554,45%,43%,39.74%,39.02%,41.7%,6557,1284,117748,15,6.3,13343,5193,4066,1127,1877,17724,500,2569,51203,62099,1671,2217,33813,7242,1773,60,21,7838,3115,2238,877,2103,0,0,0,1465697
2017-03-17,0.517,187,254,3285,45%,42%,40.02%,38.75%,43.53%,9758,1082,120541,16.5,5.8,11244,5001,3950,1051,1718,18828,500,2447,59537,56839,1527,2136,41884,6752,1635,51,19,7318,2929,2081,848,1948,0,0,0,1369639
2017-03-18,0.575,178,280,1734,49%,53%,38.99%,39.2%,38.02%,13553,2503,57985,16.3,8.3,5397,2559,2181,378,817,7289,500,1154,27730,28284,725,955,19586,3312,523,12,2,3550,1384,1138,246,647,0,0,0,631926
2017-03-19,0.557,156,251,1936,50%,50%,37.67%,37.29%,39.37%,10941,2963,54632,14.1,8.4,5874,2611,2204,407,779,7693,500,1160,26572,26121,696,1003,18723,3651,578,19,3,3884,1463,1187,276,701,0,0,0,606738
2017-03-20,0.49,198,292,3893,44%,41%,40.64%,39.23%,44.53%,7521,1192,138498,15.7,5.3,12509,6083,4703,1380,2158,21296,500,3229,61303,71808,1896,2797,41207,8108,1961,73,24,8831,3589,2543,1046,2349,0,0,0,1745442
2017-03-21,0.51,197,274,3934,44%,41%,41.11%,39.89%,44.59%,13478,1717,140272,15.8,6.5,15132,6300,4964,1336,2200,21378,500,3160,64086,70826,1978,2694,43233,8191,1933,71,30,8868,3646,2615,1031,2312,0,0,0,1746958
2017-03-22,0.545,181,303,4526,44%,41%,38.43%,36.31%,45.37%,11010,1913,139034,13.4,6,14557,6528,5148,1380,2753,23471,500,3923,68257,64101,2461,3237,42835,9607,2020,65,19,10361,3982,2880,1102,2429,0,0,0,1875109
2017-03-23,0.524,178,274,4335,45%,42%,38.06%,36.46%,43.03%,10684,1886,139842,14.5,6.3,14758,6315,4986,1329,2289,21700,500,3338,65147,69068,2035,2912,42127,8982,1992,81,31,9660,3677,2662,1015,2359,0,0,0,1722402
2017-03-24,0.537,183,268,3586,44%,41%,39.21%,37.4%,44.62%,19600,2023,124948,15.4,5.8,11813,5269,4068,1201,1964,19890,500,2786,62830,57368,1668,2442,40707,7534,1722,52,22,8117,3183,2274,909,2037,0,0,0,1485539
2017-03-25,0.679,158,195,1668,48%,51%,36.97%,37.35%,35.29%,7305,1971,48885,13.9,6.8,4381,2165,1839,326,703,6870,500,1048,25227,21907,629,930,17294,3297,523,23,6,3511,1298,1069,229,649,0,0,0,555486
2017-03-26,0.626,171,255,1678,48%,48%,37.98%,38.09%,37.5%,16301,2070,49922,14.3,7,4545,2340,2013,327,749,6836,500,1048,22738,25387,655,924,14597,3273,528,21,6,3502,1330,1087,243,648,0,0,0,600542
2017-03-27,0.548,188,262,3926,44%,41%,40.95%,39.1%,46.28%,9922,1775,138792,15.4,5.7,13220,6098,4747,1351,2267,20632,500,3237,65715,67573,1988,2837,43308,8372,1972,68,27,9023,3695,2619,1076,2325,0,0,0,1700198
2017-03-28,0.518,194,270,4083,43%,41%,40.53%,39.7%,42.87%,11292,1061,143094,15,5.4,13332,6571,5227,1344,2520,22140,500,3229,68670,68675,2251,2808,45891,8765,2052,76,31,9537,3865,2803,1062,2477,0,0,0,1847176
2017-03-29,0.516,190,258,4112,44%,43%,41.54%,40.53%,44.53%,20650,1430,136335,14.6,5.7,13467,6290,4982,1308,2663,21411,500,3205,61566,68901,2401,2766,38387,8566,1945,86,32,9323,3873,2826,1047,2351,0,0,0,1768413
2017-03-30,0.663,192,291,3993,45%,43%,38.8%,37.07%,43.95%,8531,3012,128461,14.5,7.2,16088,5881,4421,1460,2357,20992,500,3215,59575,63314,2092,2690,36624,8195,1838,66,34,8859,3437,2460,977,2223,0,0,0,1696816
2017-03-31,0.59,177,240,3551,46%,43%,39.17%,37.88%,42.71%,7364,892,107051,13.8,4.9,10128,4909,3800,1109,1989,17560,500,2411,50540,52111,1787,2099,34916,7131,1700,71,25,7768,3043,2155,888,2079,0,0,0,1372922
2017-04-01,0.656,162,243,1642,47%,49%,37.64%,38.41%,34.45%,7714,1071,48610,13.8,5.5,3753,2210,1865,345,765,6916,500,1129,23885,22831,667,988,16616,3253,547,25,9,3515,1323,1087,236,685,0,0,0,568737
2017-04-02,0.705,164,265,1815,48%,46%,38.15%,38.77%,35.7%,13761,940,51697,13.6,5.8,4420,2460,2082,378,780,7526,500,1212,23110,26595,692,1032,15117,3541,627,22,9,3803,1451,1179,272,762,0,0,0,623281
2017-04-03,0.564,199,312,4206,44%,41%,39.86%,39.03%,42.37%,9317,2138,136175,14.4,5.8,13734,6325,5007,1318,2287,21038,500,3408,59958,70522,2059,2929,37925,8747,2006,86,32,9467,3774,2769,1005,2372,0,0,0,1882352
2017-04-04,0.571,194,276,4282,44%,41%,40.18%,38.84%,44.07%,8679,921,139664,14.2,5.3,13274,6537,5151,1386,2611,22500,500,3378,62916,70759,2323,2980,39411,9013,2035,77,31,9822,3946,2843,1103,2503,0,0,0,1900907
2017-04-05,0.602,193,283,3895,44%,40%,39.96%,38.73%,43.22%,9632,2147,131715,14.9,6.9,16591,5940,4491,1449,2248,20547,500,3044,61760,64663,2034,2681,39893,8111,2015,80,33,8839,3532,2486,1046,2420,0,0,0,1707223
2017-04-06,0.469,205,302,3744,44%,41%,41.04%,40.08%,43.5%,8020,1334,131631,15.4,5.8,14046,5860,4511,1349,1998,20088,500,2945,61354,65334,1799,2580,40147,7860,2013,90,35,8562,3514,2464,1050,2414,0,0,0,1758842
2017-04-07,0.55,192,274,3257,45%,44%,40.1%,39.65%,41.27%,8714,2422,104773,14.4,6.2,12484,4699,3586,1113,1520,18078,500,2499,51377,49377,1365,2187,33514,6745,1703,61,26,7292,2924,2090,834,2021,0,0,0,1402601
2017-04-08,0.572,181,266,1502,48%,49%,36.44%,36.72%,35.34%,14135,597,40686,12.9,4.7,3047,1915,1606,309,644,6590,500,936,19265,19841,568,846,12274,2923,524,19,3,3159,1151,922,229,648,0,0,0,571132
2017-04-09,0.609,160,209,1527,50%,50%,34.63%,35.02%,33.23%,9240,695,38351,12.5,4.5,2963,1822,1541,281,470,5875,500,811,17984,19086,431,731,12041,2886,552,25,7,3078,1066,846,220,662,0,0,0,492647
2017-04-10,0.474,184,243,3975,43%,42%,40.38%,39.55%,42.49%,7858,643,128728,14.1,4.3,11075,5903,4557,1346,2227,20687,500,2938,58865,64698,1984,2596,36029,8352,2143,65,20,9151,3695,2597,1098,2584,0,0,0,1687520
2017-04-11,0.488,202,287,3914,44%,41%,41.28%,39.69%,45.25%,8937,846,126877,14.2,5.3,13623,5910,4466,1444,2122,21459,500,3260,61958,59537,1943,2826,40350,8162,2071,75,34,8954,3696,2542,1154,2550,0,0,0,1811428
2017-04-12,0.495,202,298,3685,44%,42%,39.56%,38.36%,42.66%,22346,1499,114763,13.8,5.4,12501,5181,3932,1249,1938,19326,500,2958,53030,56837,1725,2577,33363,7580,1872,70,27,8302,3284,2296,988,2316,0,0,0,1678901
2017-04-13,0.499,195,253,3550,43%,42%,40.19%,39.08%,42.88%,10622,868,123510,15.1,5.1,12237,5271,3992,1279,1851,18743,500,2886,53651,65122,1664,2547,36130,7405,1952,82,32,8171,3284,2260,1024,2388,0,0,0,1593077
2017-04-14,0.523,193,263,3017,45%,45%,39.77%,38.69%,42.59%,7285,1931,92046,13.9,5.7,10581,4456,3361,1095,1439,15655,500,2314,43153,45140,1311,2032,28523,6118,1525,56,16,6633,2638,1854,784,1841,0,0,0,1277311
2017-04-15,0.568,179,218,1367,48%,52%,36.92%,37.69%,33.86%,4656,402,42586,15,5.6,3180,1886,1601,285,671,5619,500,843,20166,20906,571,744,14839,2657,467,30,12,2844,1050,857,193,570,0,0,0,510047
2017-04-16,0.532,163,235,1652,53%,55%,35.17%,35.79%,32.22%,13251,2198,35222,11.4,7.7,4140,1844,1586,258,530,5771,500,896,17148,16648,459,765,10935,2909,443,18,6,3102,1091,917,174,540,0,0,0,506863
