,avg_time_generation,avg_time_on_site,avg_time_on_site_returning,bounce_count,bounce_rate,bounce_rate_returning,conversion_rate,conversion_rate_new_visit,conversion_rate_returning_visit,max_actions,max_actions_returning,nb_actions,nb_actions_per_visit,nb_actions_per_visit_returning,nb_actions_returning,nb_conversions,nb_conversions_new_visit,nb_conversions_returning_visit,nb_downloads,nb_hits_with_time_generation,nb_keywords,nb_outlinks,nb_pageviews,nb_searches,nb_uniq_downloads,nb_uniq_outlinks,nb_uniq_pageviews,nb_uniq_visitors,nb_uniq_visitors_returning,nb_users,nb_users_returning,nb_visits,nb_visits_converted,nb_visits_converted_new_visit,nb_visits_converted_returning_visit,nb_visits_returning,revenue,revenue_new_visit,revenue_returning_visit,sum_visit_length
2017-01-01,0.608,159,214,1335,53%,54%,22.43%,23.58%,16.24%,7468,574,24350,9.7,5.3,2096,914,808,106,361,4622,500,753,9866,13370,332,641,6739,2354,314,16,8,2514,564,500,64,394,0,0,0,400720
2017-01-02,0.548,169,267,3060,47%,42%,15.53%,16.85%,10.77%,16626,1862,74933,11.4,6.1,8602,2102,1816,286,1358,14147,500,2140,35188,36247,1243,1857,24652,6101,1196,52,21,6573,1021,868,153,1421,0,0,0,1111783
2017-01-03,0.553,176,286,4327,44%,39%,11.89%,12.63%,9.23%,12230,1476,112629,11.5,6.7,14156,2363,2008,355,2178,23554,500,2902,45629,61920,1974,2566,30990,9074,1739,74,32,9796,1165,969,196,2124,0,0,0,1727147
2017-01-04,0.546,203,294,4105,41%,39%,13.89%,15.22%,9.64%,6240,2661,137860,13.8,6.9,16361,2893,2429,464,2609,27865,500,3401,55367,76483,2360,2986,37453,9082,1917,99,43,9980,1386,1157,229,2376,0,0,0,2023870
2017-01-05,0.532,211,294,4689,42%,39%,11.36%,12.29%,8.75%,6330,1695,125205,11.2,5.5,16019,2400,1952,448,4085,26931,500,3241,53296,64474,3710,2913,33973,10015,2348,114,52,11130,1264,1007,257,2937,0,0,0,2347864
2017-01-06,0.486,205,282,3726,43%,41%,12.38%,13.31%,9.86%,9433,637,100036,11.6,5.5,12756,2073,1636,437,2880,20415,500,2862,42988,51306,2618,2501,27941,7879,1919,83,37,8659,1072,842,230,2333,0,0,0,1778479
2017-01-07,0.647,171,267,1869,48%,52%,18.24%,19.7%,11.71%,6640,1776,41930,10.8,7.3,5171,1114,969,145,893,8201,500,1249,16800,22988,836,1075,11294,3596,570,25,9,3871,706,623,83,709,0,0,0,661118
2017-01-08,0.521,162,227,2063,48%,48%,19.49%,21.08%,12.72%,9327,867,46702,11,5.5,4474,1414,1222,192,929,8785,500,1354,19055,25364,848,1169,12963,3963,664,33,13,4263,831,728,103,810,0,0,0,689347
2017-01-09,0.479,196,296,4109,44%,40%,13.47%,14.58%,10.39%,4524,2206,105727,11.2,5.8,14620,2521,1969,552,2794,22175,500,2969,41788,58176,2524,2633,26754,8584,2048,85,39,9445,1272,1012,260,2503,0,0,0,1855673
2017-01-10,0.56,188,271,4069,43%,40%,13.81%,15.05%,10.3%,13182,1661,109351,11.6,6.1,14899,2665,2121,544,2657,22177,500,3023,42746,60925,2398,2642,27449,8633,2001,78,37,9461,1307,1054,253,2456,0,0,0,1782012
