,nb_uniq_visitors,nb_visits,nb_users,nb_actions,max_actions,bounce_count,sum_visit_length,Referrers_visitorsFromSearchEngines,Referrers_visitorsFromSocialNetworks,Referrers_visitorsFromDirectEntry,Referrers_visitorsFromWebsites,Referrers_visitorsFromCampaigns,Referrers_distinctSearchEngines,Referrers_distinctSocialNetworks,Referrers_distinctKeywords,Referrers_distinctWebsites,Referrers_distinctWebsitesUrls,Referrers_distinctCampaigns,Referrers_visitorsFromDirectEntry_percent,Referrers_visitorsFromSearchEngines_percent,Referrers_visitorsFromCampaigns_percent,Referrers_visitorsFromSocialNetworks_percent,Referrers_visitorsFromWebsites_percent,nb_conversions,nb_visits_converted,revenue,conversion_rate,nb_pageviews,nb_uniq_pageviews,nb_downloads,nb_uniq_downloads,nb_outlinks,nb_uniq_outlinks,nb_searches,nb_keywords,nb_hits_with_time_generation,avg_time_generation,bounce_rate,nb_actions_per_visit,avg_time_on_site,avg_time_on_site_returning,nb_actions_per_visit_returning,bounce_rate_returning,avg_time_on_site_new,nb_actions_per_visit_new,bounce_rate_new,nb_visits_new,nb_actions_new,nb_uniq_visitors_new,nb_users_new,max_actions_new,nb_visits_returning,nb_actions_returning,nb_uniq_visitors_returning,nb_users_returning,max_actions_returning,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2019-03-03,8125,8561,70,96188,9665,5046,986110,5510,73,2310,668,0,12,4,177,213,342,0,0%,0%,0%,0%,0%,3001,1523,0,17.79%,49622,38052,2150,1803,1215,1033,43201,500,14714,0.651,59%,11.2,115,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-04,15234,16534,157,180106,14315,8226,2550600,11438,143,3367,1586,0,15,4,499,382,664,0,0%,0%,0%,0%,0%,5226,2999,0,18.14%,98390,77526,6882,5605,2775,2370,72059,500,31070,2.328,50%,10.9,154,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-05,15888,17379,251,263099,8629,8701,2746295,11571,158,4008,1641,1,15,6,466,364,622,1,0%,0%,0%,0%,0%,6948,3309,0,19.04%,138997,112012,7166,5803,2860,2442,114076,500,33367,2.355,50%,15.1,158,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-06,15979,17578,263,430653,16671,9019,2665991,11740,154,4244,1440,0,13,5,484,351,607,0,0%,0%,0%,0%,0%,8325,3395,0,19.31%,216610,174216,6996,5730,2835,2418,204212,500,32516,1.833,51%,24.5,152,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-07,15197,16483,169,297997,9951,8204,2397820,11694,101,3244,1444,0,14,4,499,354,594,0,0%,0%,0%,0%,0%,6663,3409,0,20.68%,155064,118672,6144,5088,3062,2546,133727,500,30292,1.943,50%,18.1,145,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-08,10765,11649,148,201098,19041,5632,2021118,8152,115,2408,974,0,12,4,334,302,462,0,0%,0%,0%,0%,0%,5388,2360,0,20.26%,110582,82650,5111,4225,2120,1794,83285,500,22939,2.195,48%,17.3,174,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-09,5035,5371,61,93509,10524,2839,840787,3819,93,1041,418,0,12,4,141,168,229,0,0%,0%,0%,0%,0%,2542,1164,0,21.67%,47077,36460,1804,1566,969,812,43659,500,10746,0.806,53%,17.4,157,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-10,7934,8472,93,138326,8239,4520,1140699,5888,373,1573,637,1,13,5,188,229,330,1,0%,0%,0%,0%,0%,3607,1729,0,20.41%,76480,59583,2682,2263,1423,1232,57741,500,16354,0.845,53%,16.3,135,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-11,16751,18276,182,289747,12284,8930,2909561,12554,418,3786,1514,4,11,6,513,408,670,1,0%,0%,0%,0%,0%,7920,3625,0,19.83%,154488,125043,7253,6052,3244,2815,124762,500,36269,0.85,49%,15.9,159,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-12,16907,18468,193,296545,7042,9408,2912863,12423,252,4218,1575,0,12,5,552,401,639,0,0%,0%,0%,0%,0%,7479,3548,0,19.21%,154293,123786,7187,5992,3025,2619,132040,500,35605,1.185,51%,16.1,158,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-13,16251,17718,186,297644,7109,8931,2699212,11965,121,4129,1502,1,15,5,567,381,601,1,0%,0%,0%,0%,0%,7284,3328,0,18.78%,151768,120199,6783,5820,3020,2618,136073,500,33861,0.944,50%,16.8,152,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-14,16141,17619,183,293874,8149,8720,2778282,12004,105,3617,1474,419,13,5,522,363,636,3,0%,0%,0%,0%,0%,7393,3358,0,19.06%,155478,122164,6931,5799,2947,2517,128518,500,34230,1.021,49%,16.7,158,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-15,13656,14818,171,252279,8422,7312,2198511,10079,174,3137,1251,177,12,6,428,323,533,2,0%,0%,0%,0%,0%,6141,2880,0,19.44%,136108,104718,5715,4825,2565,2153,107891,500,28584,0.833,49%,17,148,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-16,5869,6270,61,113122,8105,3394,796352,4422,58,1272,508,10,11,3,153,218,277,2,0%,0%,0%,0%,0%,2778,1315,0,20.97%,62751,48881,1806,1527,1072,927,47493,500,11300,0.838,54%,18,127,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-17,6845,7277,65,133390,8860,3869,946649,5263,46,1342,610,16,11,4,184,205,307,2,0%,0%,0%,0%,0%,3343,1519,0,20.87%,75928,58797,2283,1932,1278,1087,53901,500,13466,0.825,53%,18.3,130,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-18,15949,17533,159,275004,17600,8482,2961173,12146,90,3687,1488,122,14,5,525,361,639,1,0%,0%,0%,0%,0%,6943,3382,0,19.29%,147986,117955,7304,6149,3092,2672,116622,500,35801,0.961,48%,15.7,169,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-19,15899,17466,194,297689,21026,8460,2854744,12278,72,3547,1484,85,15,6,504,379,636,1,0%,0%,0%,0%,0%,7036,3367,0,19.28%,166852,134350,7123,5948,3102,2691,120612,500,34515,1.24,48%,17,163,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-20,14964,16379,195,294628,15654,7951,2708223,11562,110,3266,1401,40,13,7,447,375,622,2,0%,0%,0%,0%,0%,7099,3155,0,19.26%,157255,124053,6780,5687,2869,2464,127724,500,32530,1.118,49%,18,165,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-21,14372,15598,168,163466,8040,7647,2413643,11123,88,3016,1343,28,14,6,488,337,550,2,0%,0%,0%,0%,0%,5412,2920,0,18.72%,94444,74966,6348,5286,2695,2327,59979,500,30651,1.48,49%,10.5,155,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-22,12486,13734,226,266986,7821,6754,2387249,9426,51,3014,1228,15,13,4,399,304,503,1,0%,0%,0%,0%,0%,6299,2672,0,19.46%,138888,107717,5693,4783,2238,1935,120167,500,28143,1.231,49%,19.4,174,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-23,5997,6383,80,69602,3994,3363,856359,4427,94,1262,598,2,12,4,147,195,278,1,0%,0%,0%,0%,0%,2504,1314,0,20.59%,35595,28247,1886,1627,1149,959,30972,500,12058,0.832,53%,10.9,134,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-24,6884,7334,107,209319,8706,3903,1034465,5200,62,1456,615,1,11,5,180,213,314,1,0%,0%,0%,0%,0%,4865,1602,0,21.84%,132409,103519,2312,1939,1257,1045,73341,500,14022,0.765,53%,28.5,141,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-25,15973,17333,129,130241,6512,8514,2684556,12250,78,3393,1602,10,13,7,513,389,679,1,0%,0%,0%,0%,0%,5576,3276,0,18.9%,80585,62701,7129,6022,3042,2655,39485,500,34706,1.043,49%,7.5,155,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-26,16587,17897,111,94792,7497,9022,2698670,12379,171,3859,1477,11,13,5,533,370,609,1,0%,0%,0%,0%,0%,4801,3132,0,17.5%,60925,46991,7107,6022,3049,2609,23711,500,35302,0.849,50%,5.3,151,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-27,17054,18385,263,271318,7618,9321,2796358,12266,130,4488,1488,13,12,6,507,366,618,1,0%,0%,0%,0%,0%,7302,3349,0,18.22%,135802,105379,6970,5885,3262,2824,125284,500,35969,0.857,51%,14.8,152,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-28,15545,16981,322,459587,53986,8444,2688957,11692,52,3798,1429,10,17,5,426,367,613,1,0%,0%,0%,0%,0%,9334,3223,0,18.98%,256428,193469,6923,5647,2734,2385,193502,500,33102,0.994,50%,27.1,158,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-29,14350,15580,334,401497,25804,7984,2309553,10377,69,4027,1099,8,12,5,431,310,483,1,0%,0%,0%,0%,0%,6791,2832,0,18.18%,218438,179788,5615,4627,2621,2254,174823,500,29976,1.236,51%,25.8,148,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-30,6756,7237,170,205231,8283,4114,983556,4621,28,2067,518,3,12,4,159,193,282,1,0%,0%,0%,0%,0%,4566,1533,0,21.18%,107319,86643,1910,1622,1118,943,94884,500,13332,0.823,57%,28.4,136,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-31,6509,6940,103,170864,9200,3828,816770,4983,59,1385,512,1,12,5,179,184,281,1,0%,0%,0%,0%,0%,3592,1372,0,19.77%,92087,73528,1948,1643,1043,886,75786,500,12409,0.774,55%,24.6,118,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-01,16887,18387,133,79484,5302,9140,2794611,12528,802,3563,1482,12,17,4,536,384,643,1,0%,0%,0%,0%,0%,4757,3202,0,17.41%,48147,36953,7821,6462,3024,2631,20492,500,36140,1.732,50%,4.3,152,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-02,17336,18757,110,53895,127,9483,2767872,12923,437,3685,1703,9,14,6,513,379,661,2,0%,0%,0%,0%,0%,4523,3207,0,17.1%,37505,28658,7949,6566,3169,2742,5272,500,37270,1.325,51%,2.9,148,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-03,18188,19681,138,57117,150,9815,2904353,13737,227,3583,2131,3,15,5,533,376,668,1,0%,0%,0%,0%,0%,4863,3520,0,17.89%,40025,30346,8276,6826,3484,3051,5332,500,39822,1.77,50%,2.9,148,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-04,16654,18061,97,50421,129,9146,2619561,12774,175,3603,1503,6,12,5,572,386,658,1,0%,0%,0%,0%,0%,4518,3242,0,17.95%,35299,26965,7255,5983,3001,2622,4866,500,35087,1.584,51%,2.8,145,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-05,14380,15497,89,43594,261,7905,2200059,10767,69,3387,1270,4,12,6,427,321,574,2,0%,0%,0%,0%,0%,4000,2876,0,18.56%,30524,23316,6149,5019,2610,2246,4311,500,30341,1.996,51%,2.8,142,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-06,5783,6148,53,62046,3192,3389,777820,4459,52,1165,472,0,11,3,140,173,257,0,0%,0%,0%,0%,0%,2463,1301,0,21.16%,31818,23764,1972,1537,875,763,27376,500,11018,3.519,55%,10.1,127,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-07,13442,14533,441,785270,11119,7409,1693278,11173,54,2654,652,0,15,4,218,222,332,0,0%,0%,0%,0%,0%,20208,8091,0,55.67%,386005,304735,2506,2099,3713,2625,393046,500,23644,1.685,51%,54,117,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-08,17912,19912,390,933217,65265,10091,3180687,13322,115,4920,1550,5,15,8,456,362,611,2,0%,0%,0%,0%,0%,17396,5169,0,25.96%,449981,329130,7467,5608,3383,2883,472386,500,35358,5.729,51%,46.9,160,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-09,17641,19276,177,307148,31902,9956,3022458,12883,98,4763,1529,3,12,4,475,367,645,1,0%,0%,0%,0%,0%,8420,3941,0,20.45%,162139,125131,7289,6081,3349,2836,134371,500,38137,1.258,52%,15.9,157,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-10,16764,18503,173,287674,27131,9325,2908856,12761,97,4137,1503,5,14,6,496,379,633,1,0%,0%,0%,0%,0%,7919,3635,0,19.65%,149749,114877,7196,6029,3031,2626,127698,500,36350,1.104,50%,15.5,157,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-11,16350,17763,171,288535,41134,9257,2744545,11894,75,4336,1417,41,14,6,479,368,598,1,0%,0%,0%,0%,0%,7310,3413,0,19.21%,154492,118405,6983,5650,2780,2408,124280,500,33993,1.501,52%,16.2,155,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-12,13823,14997,150,232986,9543,7757,2240815,10318,44,3479,1147,9,12,5,414,300,493,2,0%,0%,0%,0%,0%,6860,3005,0,20.04%,126638,97928,5719,4780,2436,2076,98193,500,28807,1.078,52%,15.5,149,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-13,6069,6452,36,109267,7692,3524,781003,4677,24,1264,487,0,10,4,131,170,230,0,0%,0%,0%,0%,0%,3214,1473,0,22.83%,59761,45239,1836,1543,1192,940,46478,500,11364,0.852,55%,16.9,121,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-14,6488,6924,40,116383,8474,3687,872483,5104,23,1277,518,2,14,4,182,174,258,2,0%,0%,0%,0%,0%,3559,1622,0,23.43%,61849,46057,1863,1591,1272,1076,51399,500,12952,0.904,53%,16.8,126,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-15,15619,17063,138,250044,11865,8855,2533714,11535,53,4082,1381,12,14,4,430,337,577,2,0%,0%,0%,0%,0%,7324,3199,0,18.75%,132360,99236,6225,5240,2905,2413,108554,500,31843,1.11,52%,14.7,148,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-16,15779,17108,159,255096,10379,8968,2568616,11846,58,3784,1415,5,13,5,437,355,605,2,0%,0%,0%,0%,0%,7132,3259,0,19.05%,127420,94412,6338,5313,2816,2431,118522,500,32436,1.379,52%,14.9,150,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-17,14587,15995,154,240679,17062,7996,2545981,11322,66,3264,1343,0,13,5,438,338,578,0,0%,0%,0%,0%,0%,7204,3166,0,19.79%,126862,93590,6251,5167,2681,2336,104885,500,31662,1.491,50%,15,159,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-18,13712,14958,156,237982,13999,7490,2406024,10734,53,2904,1267,0,15,5,404,321,522,0,0%,0%,0%,0%,0%,6421,2924,0,19.55%,127170,97890,6004,4995,2461,2132,102347,500,29333,1.105,50%,15.9,161,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-19,14859,16140,149,268537,12254,8063,2557320,10613,45,4351,1127,4,12,5,379,287,493,1,0%,0%,0%,0%,0%,6174,2857,0,17.7%,125789,98530,5170,4213,2518,2201,135060,500,33452,2.655,50%,16.6,158,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-20,8147,8752,79,198376,12951,4273,1374597,5613,32,2618,488,1,14,5,162,174,241,1,0%,0%,0%,0%,0%,4169,1694,0,19.36%,80348,61558,2323,1951,1479,1261,114226,500,21554,1.524,49%,22.7,157,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-21,6714,7193,59,147619,11674,3767,1024343,4915,27,1775,474,2,10,5,111,164,242,2,0%,0%,0%,0%,0%,3525,1445,0,20.09%,62247,46987,1929,1603,1232,1007,82211,500,15838,1.191,52%,20.5,142,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-22,8413,8981,61,180087,10009,4500,1248136,6179,20,2141,640,1,15,5,170,224,335,1,0%,0%,0%,0%,0%,4328,1847,0,20.57%,76708,57448,2627,2196,1589,1366,99163,500,19724,1.1,50%,20.1,139,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-23,16997,18527,142,190332,8772,9128,3062958,12418,58,4640,1405,6,15,5,457,361,609,1,0%,0%,0%,0%,0%,6116,3423,0,18.48%,92941,71565,6771,5529,3260,2813,87360,500,39313,1.914,49%,10.3,165,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-24,19774,21816,239,295064,19266,10570,4078181,12847,466,5847,2654,2,13,9,417,376,776,1,0%,0%,0%,0%,0%,8284,4253,0,19.49%,134271,103725,10225,7232,3253,2835,147315,500,44013,4.641,48%,13.5,187,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-25,22894,25266,245,232169,12166,12285,4712347,15474,355,6906,2522,9,14,6,472,355,624,3,0%,0%,0%,0%,0%,8886,4994,0,19.77%,117648,84531,12255,8691,3790,3318,98476,500,51314,4.81,49%,9.2,187,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-26,21164,23118,264,281053,13336,11315,3741982,13704,247,6495,2669,3,14,6,444,399,678,2,0%,0%,0%,0%,0%,9853,5213,0,22.55%,142760,96866,8703,7033,4770,4002,124820,500,50371,1.472,49%,12.2,162,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-27,9700,10467,140,165839,6569,5075,1589253,6562,135,2505,1262,3,14,6,224,236,370,2,0%,0%,0%,0%,0%,5953,2860,0,27.32%,88003,65004,3068,2554,2635,2157,72133,500,23162,0.943,48%,15.8,152,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-28,10181,11078,105,104797,4086,5440,1649737,6747,151,2446,1734,0,12,6,201,225,355,0,0%,0%,0%,0%,0%,6597,3093,0,27.92%,53087,39637,3390,2748,2822,2344,45498,500,24307,0.944,49%,9.5,149,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-04-29,20860,22696,231,248654,15284,11080,3582998,14394,237,5437,2623,5,13,5,520,398,712,1,0%,0%,0%,0%,0%,11444,5296,0,23.33%,133203,101356,8476,6974,4995,4147,101980,500,48590,1.22,49%,11,158,242,29.5,44%,125,3.2,51%,16187,51314,16183,51,4717,6129,180816,5149,171,15284,6025,3649,0,22.54%,5015,1553,0,25.34%
2019-04-30,20696,22540,209,226897,10917,11042,3469192,13848,128,5377,3186,1,12,6,459,394,650,1,0%,0%,0%,0%,0%,10098,4848,0,21.51%,126014,96742,8339,7090,4634,3889,87910,500,48102,0.948,49%,10.1,154,244,27,44%,120,3.7,51%,16343,59771,16336,62,3781,6197,167126,5120,156,10917,5456,3385,0,20.71%,4642,1463,0,23.61%
2019-05-01,11721,12573,163,227840,7333,6270,1783917,7963,94,2581,1934,1,13,5,273,248,388,1,0%,0%,0%,0%,0%,7722,2929,0,23.3%,110450,82148,4004,3364,2432,2073,110954,500,26518,0.994,50%,18.1,142,240,68.4,47%,115,4.1,51%,9840,40832,9839,26,4501,2733,187008,2327,140,7333,3551,2147,0,21.82%,4171,782,0,28.61%
2019-05-02,20102,21882,263,253393,9729,10514,3496180,14237,177,4527,2938,3,13,5,506,369,614,1,0%,0%,0%,0%,0%,11067,4945,0,22.6%,124920,94079,8582,6970,4570,3849,115321,500,44898,1.769,48%,11.6,160,247,32.6,44%,125,3.3,50%,15685,51269,15679,49,2569,6197,202124,5191,221,9729,5410,3429,0,21.86%,5657,1516,0,24.46%
2019-05-03,31078,33575,429,653070,31486,15119,5277077,16530,214,11718,5111,2,12,6,504,368,1993,2,0%,0%,0%,0%,0%,20766,7777,0,23.16%,308930,231715,11404,8867,6148,5183,326587,500,70286,3.534,45%,19.5,157,239,80,43%,136,3.5,45%,26584,93991,26563,88,3451,6991,559079,5764,353,31486,8908,5840,0,21.97%,11858,1937,0,27.71%
2019-05-04,14582,15944,317,696812,13896,7081,2662777,9061,175,4563,2144,1,14,4,239,236,678,1,0%,0%,0%,0%,0%,14094,4527,0,28.39%,223748,153972,5155,4216,3414,2813,464461,500,36148,1.986,44%,43.7,167,211,174.3,46%,154,5.8,44%,12359,71823,12323,66,5834,3585,624989,2854,269,13896,5833,3327,0,26.92%,8261,1200,0,33.47%
2019-05-05,13379,14424,154,497795,23947,6693,2186852,8817,83,3436,2088,0,13,5,276,232,555,0,0%,0%,0%,0%,0%,11910,4087,0,28.33%,153620,104013,4389,3597,3377,2754,336409,500,31836,2.404,46%,34.5,152,216,136.7,48%,135,7.4,46%,11402,84770,11389,45,11025,3022,413025,2543,123,23947,5552,3167,0,27.78%,6358,920,0,30.44%
2019-05-06,21782,23844,215,382057,16926,10920,4580584,15470,117,5787,2469,1,13,4,480,385,759,1,0%,0%,0%,0%,0%,14185,6701,0,28.1%,157277,113715,9435,6838,5817,4903,209528,500,51011,7.254,46%,16,192,241,41.7,45%,175,6.8,46%,17531,118976,17525,87,12691,6313,263081,5261,166,16926,8381,4986,0,28.44%,5804,1715,0,27.17%
2019-05-07,20285,22368,239,416918,14850,10113,4178793,14130,169,5699,2368,2,14,6,471,415,704,1,0%,0%,0%,0%,0%,14199,6067,0,27.12%,170144,119768,8770,6727,5816,4870,232188,500,52071,3.851,45%,18.6,187,254,45.9,44%,158,7.1,46%,15707,111096,15698,79,11447,6661,305822,5468,179,14850,7537,4228,0,26.92%,6662,1839,0,27.61%
2019-05-08,16447,17715,145,377487,34558,7882,3022375,9801,92,3589,4233,0,14,5,298,284,2507,0,0%,0%,0%,0%,0%,12202,5166,0,29.16%,144019,98343,5823,4815,4663,3795,222982,500,44011,1.036,44%,21.3,171,220,70.5,47%,157,7.6,44%,13863,105930,13860,85,8145,3852,271557,3286,99,34558,7291,3929,0,28.34%,4911,1237,0,32.11%
2019-05-09,20841,22615,177,176093,10567,10616,3537401,14458,93,4922,3141,1,16,5,588,375,1075,1,0%,0%,0%,0%,0%,9889,5546,0,24.52%,90186,64611,8156,6790,5150,4263,72601,500,49269,1.511,47%,7.8,156,221,19,44%,131,3.3,48%,16163,53742,16156,49,4848,6452,122351,5469,138,10567,6217,3974,0,24.59%,3672,1572,0,24.36%
2019-05-10,18732,20486,282,569401,19979,9359,3256275,12903,98,4572,2910,3,15,6,486,370,764,1,0%,0%,0%,0%,0%,14218,5281,0,25.78%,251874,163686,7599,6353,5256,4052,304672,500,44175,1.263,46%,27.8,159,234,81.6,41%,128,5.7,47%,14529,83336,14524,51,7756,5957,486065,4932,264,19979,6280,3586,0,24.68%,7938,1695,0,28.45%
2019-05-11,10416,11156,73,202201,16181,5349,1660394,6826,36,2257,2037,0,11,5,252,220,416,0,0%,0%,0%,0%,0%,5996,3162,0,28.34%,83972,57200,3268,2757,2916,2342,112045,500,24132,1.091,48%,18.1,149,207,57.4,48%,132,6.9,48%,8679,59932,8660,27,11355,2477,142269,2138,50,16181,4285,2437,0,28.08%,1711,725,0,29.27%
2019-05-12,12091,12846,81,232495,19070,6073,1948849,7636,32,2434,2743,1,14,4,198,234,435,1,0%,0%,0%,0%,0%,6934,3511,0,27.33%,94976,63077,4201,3416,3375,2641,129943,500,28306,0.812,47%,18.1,152,218,62,48%,135,7,47%,10253,71665,10253,33,15619,2593,160830,2264,52,19070,4886,2700,0,26.33%,2048,811,0,31.28%
2019-05-13,22421,24295,182,359692,16351,11315,3901461,15196,142,4687,4270,0,13,6,568,405,749,0,0%,0%,0%,0%,0%,12694,5948,0,24.48%,162759,112847,9437,7663,5329,4376,182167,500,51265,1.943,47%,14.8,161,232,39,44%,133,5.4,48%,17495,94670,17482,50,12603,6800,265022,5784,145,16351,7242,4202,0,24.02%,5452,1746,0,25.68%
2019-05-14,21478,23199,167,244765,9749,11132,3599845,14393,137,4789,3879,1,12,6,610,421,735,1,0%,0%,0%,0%,0%,12046,5233,0,22.56%,158403,112143,8651,7182,5162,4233,72549,500,48778,1.242,48%,10.6,155,235,28.1,44%,124,3.8,49%,16744,63195,16739,38,5847,6455,181570,5477,134,9749,6121,3615,0,21.59%,5925,1618,0,25.07%
2019-05-15,20043,21739,174,238075,13026,10716,3250781,13361,125,5062,3191,0,13,5,503,391,690,0,0%,0%,0%,0%,0%,10813,4775,0,21.97%,156481,112526,7629,6415,4719,3953,69246,500,45773,0.727,49%,11,150,233,27.9,45%,115,4,51%,15415,61746,15406,41,12617,6324,176329,5356,144,13026,5580,3244,0,21.04%,5233,1531,0,24.21%
2019-05-16,21155,22906,186,250694,13421,11384,3388674,13652,863,5172,3219,0,15,5,541,391,690,0,0%,0%,0%,0%,0%,10796,4607,0,20.11%,169020,123561,8113,6952,4453,3777,69108,500,47867,0.837,50%,10.9,148,219,24.8,45%,120,5.5,51%,16453,90773,16445,41,13421,6453,159921,5485,150,9041,5866,3122,0,18.98%,4930,1485,0,23.01%
2019-05-17,19401,20929,165,257419,14926,10744,3040647,12815,424,4723,2966,1,13,5,477,376,603,1,0%,0%,0%,0%,0%,10224,4254,0,20.33%,184962,139701,7227,6181,4033,3390,61197,500,43100,0.663,51%,12.3,145,221,31,46%,115,4.8,53%,14947,72051,14940,38,7170,5982,185368,5091,141,14926,4973,2846,0,19.04%,5251,1408,0,23.54%
2019-05-18,9934,10629,69,135145,9433,5589,1438909,6415,125,2192,1897,0,13,4,231,219,412,0,0%,0%,0%,0%,0%,4836,2388,0,22.47%,93357,67347,2968,2511,2231,1856,36589,500,22234,0.63,53%,12.7,135,213,44,51%,113,3.9,53%,8302,32678,8292,19,3808,2327,102467,1974,52,9433,2990,1782,0,21.46%,1846,606,0,26.04%
2019-05-19,10794,11490,69,135543,13550,5950,1634020,6897,109,2415,2068,1,13,5,242,244,406,1,0%,0%,0%,0%,0%,5131,2743,0,23.87%,87295,61696,3144,2677,2562,2106,42542,500,24411,0.645,52%,11.8,142,213,38,51%,123,4.7,52%,9044,42649,9037,25,2891,2446,92894,2111,51,13550,3603,2095,0,23.16%,1528,648,0,26.49%
2019-05-20,21674,23514,213,251787,6125,11273,3648238,14646,221,5007,3640,0,15,7,590,378,716,0,0%,0%,0%,0%,0%,10486,5366,0,22.82%,166293,122065,8723,7247,4748,4007,72023,500,50948,1.008,48%,10.7,155,232,27.1,44%,124,4.1,49%,16798,69472,16793,53,5276,6716,182315,5654,185,6125,6235,3690,0,21.97%,4251,1676,0,24.96%
2019-05-21,21271,22936,128,249532,16754,11317,3343151,14431,118,5211,3175,1,13,6,640,387,644,1,0%,0%,0%,0%,0%,10953,4958,0,21.62%,164693,120115,8401,6994,4449,3733,71989,500,48717,0.71,49%,10.9,146,225,30,44%,115,3.4,51%,16486,55803,16484,6,5030,6450,193729,5488,123,16754,5672,3471,0,21.05%,5281,1487,0,23.05%
2019-05-22,20721,22399,202,243662,15966,11226,3095288,14492,130,4985,2791,1,12,4,567,388,648,1,0%,0%,0%,0%,0%,11253,5103,0,22.78%,160421,113925,7581,6428,4482,3763,71178,500,45478,0.666,50%,10.9,138,215,28.9,45%,107,3.7,52%,16012,59146,16009,68,3859,6387,184516,5419,146,15966,5898,3535,0,22.08%,5355,1568,0,24.55%
