,avg_time_generation,avg_time_on_site,avg_time_on_site_returning,bounce_count,bounce_rate,bounce_rate_returning,conversion_rate,conversion_rate_new_visit,conversion_rate_returning_visit,max_actions,max_actions_returning,nb_actions,nb_actions_per_visit,nb_actions_per_visit_returning,nb_actions_returning,nb_conversions,nb_conversions_new_visit,nb_conversions_returning_visit,nb_downloads,nb_hits_with_time_generation,nb_keywords,nb_outlinks,nb_pageviews,nb_searches,nb_uniq_downloads,nb_uniq_outlinks,nb_uniq_pageviews,nb_uniq_visitors,nb_uniq_visitors_returning,nb_users,nb_users_returning,nb_visits,nb_visits_converted,nb_visits_converted_new_visit,nb_visits_converted_returning_visit,nb_visits_returning,revenue,revenue_new_visit,revenue_returning_visit,sum_visit_length
2014-01-01,0.243,202,170,385,46%,61%,0%,0%,0%,78,31,3467,4.2,2.8,616,0,0,0,2,2581,163,167,3374,177,2,164,2542,750,169,0,0,835,0,0,0,220,0,0,0,168799
2014-01-02,0.275,256,316,799,40%,46%,0%,0%,0%,184,91,10634,5.3,5.9,2925,0,0,0,17,7255,492,581,8946,566,17,533,6469,1795,364,0,0,2013,0,0,0,495,0,0,0,515282
2014-01-03,0.258,249,396,686,40%,43%,0%,0%,0%,165,165,8594,5.1,6.4,2485,0,0,0,18,5943,415,496,7499,453,16,463,5528,1549,309,0,0,1701,0,0,0,387,0,0,0,422992
2014-01-04,0.333,278,332,420,46%,52%,0%,0%,0%,537,107,4329,4.8,6.4,1435,0,0,0,1,2353,192,192,3144,206,1,181,2325,813,173,0,0,909,0,0,0,225,0,0,0,253053
2014-01-05,0.353,192,228,479,48%,53%,0%,0%,0%,94,47,4152,4.2,4.7,979,0,0,0,3,2978,186,174,3782,190,2,168,2853,912,167,0,0,1000,0,0,0,210,0,0,0,191646
2014-01-06,0.322,241,382,1193,40%,44%,0%,0%,0%,576,576,15739,5.3,8.2,5235,0,0,0,13,11169,500,711,13884,725,13,653,9536,2674,486,0,0,2956,0,0,0,635,0,0,0,713221
2014-01-07,0.284,253,396,985,38%,38%,0%,0%,0%,497,497,13683,5.3,7.6,4613,0,0,0,49,9452,500,703,11751,820,44,641,8569,2304,447,0,0,2568,0,0,0,604,0,0,0,650036
2014-01-08,0.379,277,379,863,41%,41%,0%,0%,0%,383,105,10489,5,6.1,3516,0,0,0,27,6644,500,510,8481,755,22,470,6305,1869,435,0,0,2099,0,0,0,579,0,0,0,581462
2014-01-09,0.512,262,323,804,43%,49%,0%,0%,0%,114,114,9022,4.8,5.4,2578,0,0,0,17,6064,491,488,7679,564,17,458,5509,1699,363,0,0,1887,0,0,0,479,0,0,0,494716
2014-01-10,0.286,272,400,734,44%,45%,0%,0%,0%,325,325,8434,5.1,6.8,3195,0,0,0,20,5938,500,439,7152,577,18,385,4958,1467,346,0,0,1650,0,0,0,467,0,0,0,448245
