date,nb_uniq_visitors,nb_visits,nb_users,nb_actions,max_actions,bounce_count,sum_visit_length,nb_visits_new,nb_actions_new,nb_uniq_visitors_new,nb_users_new,max_actions_new,bounce_rate_new,nb_actions_per_visit_new,avg_time_on_site_new,nb_visits_returning,nb_actions_returning,nb_uniq_visitors_returning,nb_users_returning,max_actions_returning,bounce_rate_returning,nb_actions_per_visit_returning,avg_time_on_site_returning,Referrers_visitorsFromSearchEngines,Referrers_visitorsFromSocialNetworks,Referrers_visitorsFromDirectEntry,Referrers_visitorsFromWebsites,Referrers_visitorsFromCampaigns,Referrers_distinctSearchEngines,Referrers_distinctSocialNetworks,Referrers_distinctKeywords,Referrers_distinctWebsites,Referrers_distinctWebsitesUrls,Referrers_distinctCampaigns,Referrers_visitorsFromDirectEntry_percent,Referrers_visitorsFromSearchEngines_percent,Referrers_visitorsFromCampaigns_percent,Referrers_visitorsFromSocialNetworks_percent,Referrers_visitorsFromWebsites_percent,nb_conversions,nb_visits_converted,revenue,conversion_rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,nb_pageviews,nb_uniq_pageviews,nb_downloads,nb_uniq_downloads,nb_outlinks,nb_uniq_outlinks,nb_searches,nb_keywords,nb_hits_with_time_generation,avg_time_generation,bounce_rate,nb_actions_per_visit,avg_time_on_site,avg_page_load_time,PagePerformance_network_time,PagePerformance_network_hits,PagePerformance_servery_time,PagePerformance_server_hits,PagePerformance_transfer_time,PagePerformance_transfer_hits,PagePerformance_domprocessing_time,PagePerformance_domprocessing_hits,PagePerformance_domcompletion_time,PagePerformance_domcompletion_hits,PagePerformance_onload_time,PagePerformance_onload_hits,PagePerformance_pageload_time,PagePerformance_pageload_hits,avg_time_network,avg_time_server,avg_time_transfer,avg_time_dom_processing,avg_time_dom_completion,avg_time_on_load
2021-04-06,249376,263498,279,796363,235,61969,29223344,198173,591320,198173,112,192,22%,3,102,65325,205043,58964,184,235,28%,3.1,137,218702,8665,29641,6487,3,15,8,1190,697,1257,1,0%,1%,0%,0%,0%,2323,2315,0,0.88%,1366,1352,0,0.68%,957,947,0,1.45%,481876,332326,15383,11585,227849,185198,71255,500,481146,0.275,24%,3,111,0,,,,,,,,,,,,,,,,,,,,
2021-04-07,193269,203860,253,593325,343,52316,21353804,148139,424163,148139,83,213,24%,2.9,95,55721,169162,50342,189,343,30%,3,131,170656,3614,23969,5621,0,13,8,986,685,1180,0,0%,1%,0%,0%,0%,2113,2103,0,1.03%,1193,1179,0,0.8%,920,909,0,1.63%,362217,256202,14887,11305,164509,135964,51711,500,361562,0.288,26%,2.9,105,0,,,,,,,,,,,,,,,,,,,,
2021-04-08,134324,142593,217,401806,471,43204,14942093,99128,271880,99128,78,126,29%,2.7,88,43465,129926,38525,154,471,33%,3,144,113307,2794,20859,5632,1,16,8,801,650,1105,1,0%,1%,0%,0%,0%,2012,2003,0,1.4%,1152,1143,0,1.15%,860,853,0,1.96%,253130,181605,13859,10559,99406,82591,35410,500,252744,0.282,30%,2.8,105,0,,,,,,,,,,,,,,,,,,,,
2021-04-09,141476,149098,197,427852,629,40986,14527317,105437,297923,105437,69,629,26%,2.8,86,43661,129929,39548,141,187,31%,3,126,123349,1619,19235,4893,2,11,9,791,642,1071,1,0%,1%,0%,0%,0%,1810,1805,0,1.21%,1061,1039,0,0.99%,749,738,0,1.69%,263662,189888,13195,9727,111384,91666,39611,500,263243,0.271,27%,2.9,97,0,,,,,,,,,,,,,,,,,,,,
2021-04-10,129275,135544,115,393103,308,35145,12594587,96752,276733,96752,50,97,25%,2.9,86,38792,116370,35641,68,308,28%,3,111,114692,958,15960,3933,1,14,8,564,466,786,1,0%,1%,0%,0%,0%,937,936,0,0.69%,634,626,0,0.65%,303,297,0,0.77%,240016,170780,6649,5455,109351,88752,37087,500,239616,0.262,26%,2.9,93,0,,,,,,,,,,,,,,,,,,,,
2021-04-11,120281,126046,108,357953,239,34874,11657898,90477,252900,90477,46,118,27%,2.8,85,35569,105053,32681,72,239,30%,3,112,105261,1198,15677,3894,16,14,7,529,487,815,1,0%,1%,0%,0%,0%,1024,1020,0,0.81%,665,655,0,0.72%,359,346,0,0.97%,221210,159429,7720,6211,93796,77351,35227,500,220886,0.28,28%,2.8,92,0,,,,,,,,,,,,,,,,,,,,
2021-04-12,104888,110893,224,307302,1410,37504,11135796,76454,204530,76454,65,107,34%,2.7,86,34439,102772,30972,172,1410,34%,3,133,87635,884,17679,4693,2,14,8,763,635,1044,2,0%,1%,0%,0%,0%,2160,2151,0,1.94%,1209,1191,0,1.56%,951,937,0,2.72%,196743,144273,14431,11563,67777,56355,28351,500,196365,0.285,34%,2.8,100,0,,,,,,,,,,,,,,,,,,,,
2021-04-13,102671,108423,236,294875,2067,38525,10440563,75174,198383,75174,76,2067,36%,2.6,82,33249,96492,29857,175,237,36%,2.9,129,86443,662,16588,4728,2,14,7,752,642,1056,1,0%,1%,0%,0%,0%,2160,2155,0,1.99%,1257,1248,0,1.66%,903,900,0,2.71%,192038,142297,15450,12508,62040,51718,25347,500,191649,0.285,36%,2.7,96,0,,,,,,,,,,,,,,,,,,,,
2021-04-14,108926,115080,235,308820,217,40445,10642780,80229,207998,80229,90,127,35%,2.6,79,34851,100822,31439,161,217,35%,2.9,124,93469,473,16417,4720,1,16,7,675,607,1008,1,0%,1%,0%,0%,0%,2032,2024,0,1.76%,1152,1131,0,1.41%,880,871,0,2.5%,199126,147394,16083,12932,67322,56163,26287,500,198764,0.285,35%,2.7,92,0,,,,,,,,,,,,,,,,,,,,
2021-04-15,101005,106758,241,288130,288,38149,10275162,73747,190455,73747,89,141,36%,2.6,79,33011,97675,29646,171,288,35%,3,136,85333,617,15457,5350,1,15,9,703,639,1021,1,0%,0%,0%,0%,0%,2016,2013,0,1.89%,1149,1138,0,1.54%,867,863,0,2.61%,187061,137139,15384,12435,61331,51022,24354,500,186799,0.304,36%,2.7,96,0,,,,,,,,,,,,,,,,,,,,
2021-04-16,99609,104993,207,279773,447,37077,9461777,73106,188272,73106,88,124,35%,2.6,76,31887,91501,28836,131,447,36%,2.9,123,84820,374,15284,4514,1,14,8,621,582,968,1,0%,0%,0%,0%,0%,1855,1848,0,1.76%,1081,1045,0,1.43%,774,754,0,2.36%,181103,133446,14540,11828,60182,50705,23948,500,180735,0.314,35%,2.7,90,0,,,,,,,,,,,,,,,,,,,,
2021-04-17,96099,100565,133,268891,259,30998,8082085,72053,189349,72053,73,93,30%,2.6,71,28512,79542,26251,66,259,32%,2.8,104,83794,375,12811,3546,39,14,8,403,435,703,1,0%,0%,0%,0%,0%,985,980,0,0.97%,663,656,0,0.91%,322,317,0,1.11%,169209,124120,8212,6846,65805,55532,25665,500,168939,0.294,31%,2.7,80,0,,,,,,,,,,,,,,,,,,,,
2021-04-18,102397,106955,107,295246,187,30344,8791844,76972,209084,76972,52,74,28%,2.7,74,29983,86162,27702,62,187,30%,2.9,103,91048,276,12432,3192,7,13,6,398,413,701,2,0%,1%,0%,0%,0%,956,954,0,0.89%,621,610,0,0.79%,335,329,0,1.1%,183033,133324,7846,6474,73416,62055,30948,500,182741,0.307,28%,2.8,82,0,,,,,,,,,,,,,,,,,,,,
2021-04-19,103832,109707,260,292804,1119,39966,9883145,76286,196986,76286,101,132,36%,2.6,76,33421,95818,30108,178,1119,37%,2.9,122,89692,318,15140,4513,44,13,7,613,641,1018,1,0%,1%,0%,0%,0%,2063,2055,0,1.87%,1223,1216,0,1.59%,840,831,0,2.49%,190639,140065,16029,13228,59235,49692,26901,500,190276,0.3,36%,2.7,90,0,,,,,,,,,,,,,,,,,,,,
2021-04-20,95456,101268,236,273400,742,38241,9607247,69239,180037,69239,95,246,38%,2.6,77,32029,93363,28548,165,742,38%,2.9,133,81464,561,14609,4624,10,17,7,635,620,1017,1,0%,0%,0%,0%,0%,2074,2063,0,2.04%,1245,1225,0,1.77%,829,817,0,2.55%,179766,131535,15024,12214,54739,45161,23866,500,179418,0.305,38%,2.7,95,0,,,,,,,,,,,,,,,,,,,,
2021-04-21,86580,91507,248,241979,133,35047,8403205,62674,158421,62674,95,133,39%,2.5,76,28833,83558,25881,169,126,38%,2.9,126,72827,406,13809,4462,3,14,8,614,589,992,1,0%,0%,0%,0%,0%,2075,2070,0,2.26%,1184,1150,0,1.83%,891,862,0,2.99%,158290,119218,14631,11668,47166,39914,21892,500,158000,0.3,38%,2.6,92,0,,,,,,,,,,,,,,,,,,,,
2021-04-22,73305,77364,205,200685,163,30116,6936143,52895,131582,52895,83,163,39%,2.5,74,24469,69103,22050,140,163,38%,2.8,124,60875,202,12232,4052,3,16,7,531,565,892,2,0%,0%,0%,0%,0%,1844,1836,0,2.37%,1067,1053,0,1.99%,777,765,0,3.13%,131693,100003,12705,10254,37986,32364,18301,500,131410,0.305,39%,2.6,90,0,,,,,,,,,,,,,,,,,,,,
2021-04-23,63665,67355,173,173809,511,26852,6381019,46050,112740,46050,62,103,41%,2.4,73,21305,61069,18982,125,511,38%,2.9,142,51033,1643,11456,3215,8,14,8,452,524,826,3,0%,0%,0%,0%,0%,1516,1513,0,2.25%,871,866,0,1.88%,645,642,0,3.01%,115487,87277,10796,8903,31977,27240,15525,500,115241,0.309,40%,2.6,95,0,,,,,,,,,,,,,,,,,,,,
2021-04-24,55853,58691,76,150451,260,20804,4527038,41523,103628,41523,26,130,35%,2.5,65,17168,46823,15591,54,260,35%,2.7,106,47345,386,8759,2194,7,15,7,307,372,585,4,0%,0%,0%,0%,0%,746,744,0,1.27%,514,510,0,1.23%,232,227,0,1.32%,96955,73481,6070,5052,33354,28528,14072,500,96765,0.323,35%,2.6,77,0,,,,,,,,,,,,,,,,,,,,
2021-04-25,53011,55555,87,143054,184,21458,4566681,39138,96991,39138,37,93,39%,2.5,70,16417,46063,14976,55,184,38%,2.8,111,43520,701,8679,2655,0,12,5,283,395,640,0,0%,0%,0%,0%,0%,809,806,0,1.45%,513,508,0,1.3%,296,292,0,1.78%,94053,71022,6539,5453,28679,24398,13783,500,93811,0.311,39%,2.6,82,0,,,,,,,,,,,,,,,,,,,,
2021-04-26,60023,64052,235,164146,496,29515,6676676,43628,105711,43628,79,104,47%,2.4,82,20424,58435,17872,168,496,44%,2.9,152,47468,308,11923,4347,6,16,8,466,590,927,3,0%,0%,0%,0%,0%,2063,2060,0,3.22%,1239,1221,0,2.8%,824,819,0,4.01%,112966,86149,14073,11596,22614,19059,14493,500,112736,0.378,46%,2.6,104,0,,,,,,,,,,,,,,,,,,,,
2021-04-27,68850,73214,259,184585,203,34218,7241024,51028,121139,51028,105,83,48%,2.4,79,22186,63446,19563,180,203,44%,2.9,145,55821,235,12786,4370,2,12,7,430,629,998,2,0%,0%,0%,0%,0%,2158,2156,0,2.94%,1255,1241,0,2.43%,903,894,0,4.03%,128088,97796,15866,13252,24682,20894,15949,500,127781,0.355,47%,2.5,99,0,,,,,,,,,,,,,,,,,,,,
2021-04-28,77301,81900,253,199454,159,38486,7293306,58524,135938,58524,104,102,48%,2.3,71,23376,63516,20733,165,159,45%,2.7,134,64714,250,12641,4292,3,14,9,436,592,931,1,0%,0%,0%,0%,0%,2134,2127,0,2.6%,1290,1282,0,2.19%,844,841,0,3.6%,138894,106835,17581,14891,26947,23369,16031,500,138628,0.327,47%,2.4,89,0,,,,,,,,,,,,,,,,,,,,
2021-04-29,70590,74971,228,183163,173,36357,6841418,52720,120535,52720,68,95,50%,2.3,71,22251,62628,19683,178,173,46%,2.8,138,57330,294,12680,4665,2,15,8,442,602,984,1,0%,0%,0%,0%,0%,2030,2022,0,2.7%,1173,1158,0,2.2%,857,845,0,3.8%,128553,98990,15727,13269,23970,20448,14913,500,128274,0.346,48%,2.4,91,0,,,,,,,,,,,,,,,,,,,,
2021-04-30,62409,66041,203,157684,418,32817,5813363,46430,104033,46430,75,118,51%,2.2,69,19611,53651,17456,140,418,46%,2.7,132,49719,410,12502,3403,7,14,9,391,518,865,3,0%,0%,0%,0%,0%,1758,1745,0,2.64%,1051,1030,0,2.22%,707,694,0,3.54%,110698,86145,12579,10622,20873,17976,13534,500,110480,0.311,50%,2.4,88,0,,,,,,,,,,,,,,,,,,,,
2021-05-01,58910,61783,106,144710,229,28640,4619210,45992,104067,45992,65,83,47%,2.3,63,15791,40643,14296,51,229,45%,2.6,108,48591,452,10131,2595,14,13,8,255,439,678,2,0%,0%,0%,0%,0%,1008,1005,0,1.63%,692,686,0,1.49%,316,313,0,1.98%,99918,77793,9038,7523,23440,20124,12314,500,99669,0.739,46%,2.3,75,0,,,,,,,,,,,,,,,,,,,,
2021-05-02,46937,49393,90,117389,175,23226,3862217,35673,81944,35673,43,108,47%,2.3,65,13720,35445,12368,54,175,46%,2.6,113,38349,249,8437,2357,1,12,6,199,383,592,1,0%,0%,0%,0%,0%,858,854,0,1.73%,606,574,0,1.61%,252,239,0,1.74%,81541,63089,7571,6235,18152,15633,10125,500,81307,0.313,47%,2.4,78,0,,,,,,,,,,,,,,,,,,,,
2021-05-03,55513,59165,215,148598,266,30521,6227770,41733,99972,41733,75,151,53%,2.4,87,17432,48626,15199,157,266,49%,2.8,149,43153,340,11933,3734,5,15,7,408,596,932,2,0%,0%,0%,0%,0%,2132,2123,0,3.59%,1321,1299,0,3.11%,811,786,0,4.51%,105340,81827,15746,12935,14295,12394,13217,500,104994,0.309,52%,2.5,105,0,,,,,,,,,,,,,,,,,,,,
2021-05-04,58625,62581,253,154228,233,32802,6579471,44618,104140,44618,100,119,54%,2.3,87,17963,50088,15672,169,233,49%,2.8,151,43513,305,13182,5580,1,14,7,373,605,1909,1,0%,0%,0%,0%,0%,2095,2084,0,3.33%,1275,1225,0,2.75%,820,788,0,4.39%,109488,85152,15215,12611,14681,12485,14844,500,109166,0.313,52%,2.5,105,0,,,,,,,,,,,,,,,,,,,,
2021-05-05,55783,59410,209,146762,633,31510,6276735,42046,97401,42046,71,88,55%,2.3,84,17364,49361,15195,146,633,49%,2.8,158,39379,265,13387,6378,1,14,9,386,557,2341,1,0%,0%,0%,0%,0%,2013,2003,0,3.37%,1235,1216,0,2.89%,778,762,0,4.39%,104526,81526,13865,11568,13971,11837,14400,500,104297,0.316,53%,2.5,106,0,,,,,,,,,,,,,,,,,,,,
2021-05-06,58558,62168,217,152481,123,32658,6379025,44678,103568,44678,88,123,54%,2.3,82,17490,48913,15378,140,112,49%,2.8,155,41837,187,14355,5786,3,13,6,394,593,2267,1,0%,0%,0%,0%,0%,2034,2030,0,3.27%,1280,1272,0,2.85%,754,753,0,4.31%,107734,84077,15168,12646,14923,12797,14656,500,107536,0.311,53%,2.5,103,0,,,,,,,,,,,,,,,,,,,,
2021-05-07,51742,54950,156,133589,330,29026,5214138,39393,90021,39393,48,202,54%,2.3,76,15557,43568,13670,118,330,50%,2.8,143,36809,217,13082,4842,0,14,6,324,514,1907,0,0%,0%,0%,0%,0%,1717,1711,0,3.11%,1050,1033,0,2.62%,667,658,0,4.23%,94695,73863,12871,10603,13344,11394,12679,500,94526,0.309,53%,2.4,95,0,,,,,,,,,,,,,,,,,,,,
2021-05-08,34894,36735,86,86040,520,19871,3147482,27582,61176,27582,43,116,55%,2.2,70,9153,24864,8168,48,520,52%,2.7,133,24297,186,8505,3745,2,13,6,152,362,1563,1,0%,0%,0%,0%,0%,821,817,0,2.22%,555,542,0,1.97%,266,260,0,2.84%,61395,48074,6508,5389,9431,7878,8706,500,61244,0.414,54%,2.3,86,0,,,,,,,,,,,,,,,,,,,,
2021-05-09,35103,37043,95,88902,230,19572,3380963,27576,62631,27576,35,68,54%,2.3,74,9467,26271,8363,65,230,50%,2.8,142,24074,319,8578,4072,0,11,6,131,381,1755,0,0%,0%,0%,0%,0%,952,947,0,2.56%,645,601,0,2.18%,307,289,0,3.05%,63046,49053,6835,5755,9825,8235,9196,500,62835,0.388,53%,2.4,91,0,,,,,,,,,,,,,,,,,,,,
2021-05-10,57889,61727,204,153264,152,32228,6668589,44267,103978,44267,74,152,54%,2.3,87,17460,49286,15206,143,110,48%,2.8,160,40023,294,15658,5746,6,13,8,399,574,2152,2,0%,0%,0%,0%,0%,2212,2203,0,3.57%,1381,1361,0,3.07%,831,822,0,4.71%,107197,83733,15499,12737,14863,12483,15705,500,106991,0.33,52%,2.5,108,0,,,,,,,,,,,,,,,,,,,,
2021-05-11,62445,66437,226,156016,131,35521,6452595,48446,106714,48446,80,115,55%,2.2,77,17991,49302,15772,165,131,49%,2.7,152,44416,192,16370,5459,0,12,6,386,584,2062,0,0%,0%,0%,0%,0%,2146,2136,0,3.22%,1349,1338,0,2.76%,797,790,0,4.39%,110740,87370,14854,12286,16632,14117,13790,500,110547,0.335,53%,2.3,97,0,,,,,,,,,,,,,,,,,,,,
2021-05-12,53179,56541,180,131858,214,30607,5462653,41034,89137,41034,63,81,56%,2.2,76,15507,42721,13626,130,214,50%,2.8,150,35179,223,13818,7320,1,14,6,342,502,1723,1,0%,0%,0%,0%,0%,1681,1673,0,2.96%,1057,1036,0,2.52%,624,610,0,3.93%,95108,75259,11629,9859,13932,11799,11189,500,94928,0.337,54%,2.3,97,0,,,,,,,,,,,,,,,,,,,,
2021-05-13,40270,42751,90,98455,117,23314,3752723,31548,69036,31548,39,88,56%,2.2,71,11203,29419,9837,55,117,51%,2.6,135,26162,168,9945,6474,2,13,7,163,384,1572,1,0%,0%,0%,0%,0%,961,960,0,2.25%,658,643,0,2.04%,303,299,0,2.67%,71817,56480,6538,5617,11142,9216,8958,500,71639,0.352,55%,2.3,88,0,,,,,,,,,,,,,,,,,,,,
2021-05-14,39898,42322,119,98170,165,23166,3773604,30595,67780,30595,47,122,56%,2.2,73,11727,30390,10332,80,165,52%,2.6,130,26886,115,9849,5472,0,14,7,221,355,1569,0,0%,0%,0%,0%,0%,1070,1068,0,2.52%,703,690,0,2.26%,367,363,0,3.1%,71337,56278,7432,6361,10512,8706,8889,500,71181,0.342,55%,2.3,89,0,,,,,,,,,,,,,,,,,,,,
2021-05-15,37816,39778,75,91084,100,21770,3357549,29809,65690,29809,32,100,55%,2.2,71,9969,25394,8913,48,72,52%,2.5,123,26635,95,8206,4841,1,12,7,161,336,1553,1,0%,0%,0%,0%,0%,831,830,0,2.09%,597,584,0,1.96%,234,229,0,2.3%,66289,52204,6020,5037,10363,8495,8412,500,66130,0.337,55%,2.3,84,0,,,,,,,,,,,,,,,,,,,,
2021-05-16,36510,38543,93,90457,106,21009,3499559,28634,64638,28634,47,99,55%,2.3,76,9909,25819,8765,53,106,52%,2.6,133,24488,118,8700,5236,1,15,7,164,368,1696,1,0%,0%,0%,0%,0%,963,962,0,2.5%,686,668,0,2.33%,277,275,0,2.78%,65509,51101,6302,5322,9523,7854,9123,500,65354,0.348,55%,2.3,91,0,,,,,,,,,,,,,,,,,,,,
2021-05-17,52816,56351,217,142087,261,29769,6104297,40501,94772,40501,67,239,55%,2.3,85,15850,47315,13771,169,261,48%,3,169,35281,155,14341,6574,0,14,6,392,543,1894,0,0%,0%,0%,0%,0%,2107,2102,0,3.73%,1271,1265,0,3.12%,836,829,0,5.23%,101191,78656,13502,11310,13697,11379,13697,500,101010,0.343,53%,2.5,108,0,,,,,,,,,,,,,,,,,,,,
2021-05-18,47915,51204,193,130686,234,26973,5677786,36392,86819,36392,61,234,55%,2.4,87,14812,43867,12807,137,116,48%,3,170,31665,132,13401,6006,0,13,9,343,564,1865,0,0%,0%,0%,0%,0%,1942,1934,0,3.78%,1186,1164,0,3.2%,756,742,0,5.01%,92786,71841,12994,10604,12105,10152,12801,500,92622,0.373,53%,2.6,111,0,,,,,,,,,,,,,,,,,,,,
2021-05-19,43096,46091,205,114848,336,24591,5020484,32699,75965,32699,64,336,55%,2.3,85,13392,38883,11580,157,176,49%,2.9,167,28521,209,11888,5473,0,12,5,322,523,1724,0,0%,0%,0%,0%,0%,1796,1789,0,3.88%,1055,1046,0,3.2%,741,733,0,5.47%,80826,63098,11989,9361,10618,8905,11415,500,80652,0.383,53%,2.5,109,0,,,,,,,,,,,,,,,,,,,,
2021-05-20,42336,45144,169,115258,379,24080,4849474,32204,76509,32204,57,227,55%,2.4,84,12940,38749,11211,124,379,48%,3,166,28284,169,11686,5005,0,15,7,342,535,1555,0,0%,0%,0%,0%,0%,1839,1835,0,4.06%,1078,1041,0,3.23%,761,740,0,5.72%,80859,62924,13149,10002,9989,8471,11261,500,80734,0.373,53%,2.6,107,0,,,,,,,,,,,,,,,,,,,,
2021-05-21,37961,40531,158,101405,172,21569,4312420,28663,67010,28663,48,172,55%,2.3,83,11868,34395,10314,125,107,49%,2.9,162,25355,119,10356,4700,1,12,7,274,492,1522,1,0%,0%,0%,0%,0%,1640,1637,0,4.04%,962,948,0,3.31%,678,664,0,5.59%,71361,55782,11068,8504,9215,7759,9761,500,71203,0.366,53%,2.5,106,0,,,,,,,,,,,,,,,,,,,,
2021-05-22,25733,27197,66,66101,306,14571,2607686,20446,47569,20446,34,149,54%,2.3,81,6751,18532,5939,41,306,52%,2.7,141,17275,125,6370,3427,0,12,6,121,319,1230,0,0%,0%,0%,0%,0%,670,669,0,2.46%,454,448,0,2.19%,216,216,0,3.2%,47410,36765,5088,4126,6834,5624,6769,500,47278,0.374,54%,2.4,96,0,,,,,,,,,,,,,,,,,,,,
2021-05-23,23542,24950,61,62126,447,13349,2417006,18712,43972,18712,25,246,54%,2.3,79,6238,18154,5474,39,447,51%,2.9,150,15703,114,5852,3281,0,11,6,134,321,1196,0,0%,0%,0%,0%,0%,747,744,0,2.98%,503,492,0,2.63%,244,242,0,3.88%,44330,34351,5199,3924,6134,5096,6463,500,44191,0.37,54%,2.5,97,0,,,,,,,,,,,,,,,,,,,,
2021-05-24,32294,34312,86,87190,182,17727,3721841,25246,60350,25246,41,84,53%,2.4,88,9066,26840,7928,51,182,49%,3,164,21813,190,7653,4655,1,11,6,161,431,1594,1,0%,0%,0%,0%,0%,1167,1165,0,3.4%,755,713,0,2.82%,412,388,0,4.28%,60950,46804,8725,6780,8352,6988,9163,500,60788,0.381,52%,2.5,108,0,,,,,,,,,,,,,,,,,,,,
2021-05-25,42478,45361,170,115977,165,23921,5121788,32439,77236,32439,65,165,55%,2.4,87,12922,38741,11147,125,134,48%,3,178,28462,170,11168,5559,2,14,6,325,532,1670,1,0%,0%,0%,0%,0%,1843,1840,0,4.06%,1129,1095,0,3.38%,714,698,0,5.4%,81143,63109,12918,10004,10310,8581,11606,500,80989,0.387,53%,2.6,113,0,,,,,,,,,,,,,,,,,,,,
2021-05-26,41767,44677,193,112571,176,23752,4978212,31945,74572,31945,49,176,55%,2.3,85,12732,37999,10940,154,134,48%,3,178,28822,195,10349,5310,1,11,7,301,563,1634,1,0%,0%,0%,0%,0%,1851,1846,0,4.13%,1101,1068,0,3.34%,750,731,0,5.74%,79330,61543,12401,9601,10138,8624,10702,500,79155,0.404,53%,2.5,111,0,,,,,,,,,,,,,,,,,,,,
2021-05-27,43132,45884,171,114354,174,24570,4855012,33530,78620,33530,54,107,55%,2.3,85,12354,35734,10800,130,174,49%,2.9,161,29914,267,11172,4530,1,14,6,261,555,1497,1,0%,0%,0%,0%,0%,1774,1765,0,3.85%,1077,1040,0,3.1%,697,677,0,5.48%,80822,62900,12047,9514,10091,8554,11394,500,80678,0.358,54%,2.5,106,0,,,,,,,,,,,,,,,,,,,,
2021-05-28,35858,38196,154,96762,294,20367,4077109,27412,65660,27412,45,215,55%,2.4,87,10784,31102,9423,122,294,48%,2.9,158,24466,242,9942,3546,0,14,5,249,465,1318,0,0%,0%,0%,0%,0%,1494,1491,0,3.9%,888,877,0,3.2%,606,598,0,5.55%,68028,52951,10479,7854,8474,7148,9781,500,67886,0.356,53%,2.5,107,0,,,,,,,,,,,,,,,,,,,,
2021-05-29,22941,24281,56,58269,177,13275,2255330,18282,42064,18282,23,86,56%,2.3,81,5999,16205,5247,38,177,51%,2.7,130,15807,114,5979,2381,0,11,5,92,292,944,0,0%,0%,0%,0%,0%,638,636,0,2.62%,442,436,0,2.38%,196,194,0,3.23%,41442,32323,4551,3646,5911,4864,6365,500,41327,0.369,55%,2.4,93,0,,,,,,,,,,,,,,,,,,,,
2021-05-30,24197,25637,68,61058,174,14137,2353001,19349,43758,19349,32,174,56%,2.3,75,6288,17300,5519,41,74,52%,2.8,143,16733,86,6090,2727,1,11,8,102,325,1062,1,0%,0%,0%,0%,0%,658,654,0,2.55%,457,447,0,2.31%,201,195,0,3.1%,43489,33732,5196,4057,5950,4912,6423,500,43351,0.361,55%,2.4,92,0,,,,,,,,,,,,,,,,,,,,
2021-05-31,43094,45969,176,113361,92,24813,4781577,33027,76606,33027,52,87,56%,2.3,82,12942,36755,11255,134,92,49%,2.8,160,30430,248,10925,4364,2,14,8,300,540,1430,2,0%,0%,0%,0%,0%,1813,1807,0,3.93%,1084,1071,0,3.24%,729,724,0,5.59%,80041,62558,12054,9428,10238,8657,11028,500,79879,0.377,54%,2.5,104,0,,,,,,,,,,,,,,,,,,,,
2021-06-01,39652,42426,184,106260,172,22628,4703970,30163,70290,30163,70,122,56%,2.3,86,12263,35970,10530,127,172,47%,2.9,171,27691,238,10255,4233,9,12,8,290,548,1326,2,0%,0%,0%,0%,0%,1717,1713,0,4.04%,1048,1016,0,3.37%,669,656,0,5.35%,74755,58541,11504,9134,9486,8039,10515,500,74613,0.349,53%,2.5,111,0,,,,,,,,,,,,,,,,,,,,
2021-06-02,39787,42730,202,172084,61372,22565,4727870,30091,130816,30091,62,61372,55%,4.3,85,12639,41268,10795,152,2941,47%,3.3,172,27567,191,10429,4539,4,11,7,274,524,1398,2,0%,0%,0%,0%,0%,1891,1885,0,4.41%,1083,1078,0,3.58%,808,802,0,6.35%,77296,60173,13483,9567,70893,8259,10412,500,77135,0.339,53%,4,111,0,,,,,,,,,,,,,,,,,,,,
2021-06-03,38350,41093,167,182211,67284,21638,4501837,29079,67353,29079,43,103,55%,2.3,88,12014,114858,10369,129,67284,47%,9.6,162,26202,157,10240,4488,6,11,8,264,523,1316,1,0%,0%,0%,0%,0%,1696,1684,0,4.1%,977,973,0,3.35%,719,710,0,5.91%,73864,58384,12279,9019,86194,7856,9874,500,73701,0.35,53%,4.4,110,0,,,,,,,,,,,,,,,,,,,,
2021-06-04,34193,36494,176,214664,120688,19369,3963137,25918,59794,25918,48,75,55%,2.3,86,10576,154870,9158,136,120688,48%,14.6,165,23586,138,9072,3697,1,10,9,273,466,1282,1,0%,0%,0%,0%,0%,1421,1411,0,3.87%,851,842,0,3.25%,570,561,0,5.3%,66600,52917,9793,7719,130152,6945,8119,500,66453,0.492,53%,5.9,109,0,,,,,,,,,,,,,,,,,,,,
2021-06-05,21965,23216,65,61214,6444,12755,2125441,17589,39861,17589,21,54,56%,2.3,78,5627,21353,4975,48,6444,52%,3.8,133,14898,149,5651,2516,2,15,9,120,292,960,2,0%,0%,0%,0%,0%,696,692,0,2.98%,472,440,0,2.5%,224,213,0,3.79%,39514,31005,4388,3539,11951,4677,5361,500,39362,0.381,55%,2.6,92,0,,,,,,,,,,,,,,,,,,,,
2021-06-06,22336,23510,52,54942,329,12788,2096983,17886,40169,17886,23,68,55%,2.2,74,5624,14773,4999,35,329,51%,2.6,138,15017,74,5681,2737,1,10,7,98,315,1026,1,0%,0%,0%,0%,0%,636,634,0,2.7%,451,419,0,2.34%,185,173,0,3.08%,39164,30777,4260,3519,5781,4719,5737,500,38995,0.404,54%,2.3,89,0,,,,,,,,,,,,,,,,,,,,
